no,price,mark,model,year,mileage,engine_capacity,transmission,drive,hand_drive,fuel
170,490,honda,step wgn,2006,169400,2000,automatic,2,righthand,petrol
171,490,nissan,moco,2013,199000,660,automatic,2,righthand,petrol
172,490,nissan,tiida,2010,98000,1500,automatic,2,righthand,petrol
173,490,nissan,clipper truck,2012,219300,660,manual,4,righthand,petrol
174,490,daihatsu,esse,2008,120600,660,automatic,2,righthand,petrol
175,490,nissan,cube,2008,78700,1400,automatic,2,righthand,petrol
176,490,toyota,bb,2009,128300,1500,automatic,2,righthand,petrol
177,490,mitsubishi,ek wagon,2012,117000,660,automatic,2,righthand,petrol
178,495,suzuki,swift,2006,67974,1300,automatic,2,righthand,petrol
179,495,suzuki,swift,2008,62752,1200,automatic,2,righthand,petrol
180,495,volkswagen,polo,2009,22668,1400,automatic,2,righthand,petrol
181,498,nissan,x-trail,2005,115934,1990,automatic,2,righthand,petrol
182,500,nissan,cube,2011,37000,1500,automatic,2,righthand,petrol
183,500,nissan,cube,2011,94000,1500,automatic,2,righthand,petrol
184,500,nissan,note,2010,42000,1500,automatic,2,righthand,petrol
185,500,nissan,note,2010,121000,1500,automatic,2,righthand,petrol
186,500,toyota,passo,2011,104000,1000,automatic,2,righthand,petrol
187,500,nissan,march,2011,76000,1200,automatic,2,righthand,petrol
188,500,mitsubishi,pajero mini,2003,146000,660,automatic,4,righthand,petrol
189,500,nissan,note,2010,154000,1500,automatic,2,righthand,petrol
190,500,mazda,atenza sport,2007,241000,1500,automatic,2,righthand,petrol
191,500,nissan,note,2008,81000,1500,automatic,2,righthand,petrol
192,500,nissan,ad van,2013,210000,1500,automatic,2,righthand,petrol
193,500,mitsubishi,delica d2,2012,142200,1200,automatic,2,righthand,petrol
194,500,toyota,pixis space,2012,142100,660,automatic,2,righthand,petrol
195,500,honda,freed spike,2012,192200,1500,automatic,2,righthand,petrol
196,500,honda,stream,2009,82500,1800,automatic,2,righthand,petrol
197,500,suzuki,alto,2004,70000,660,automatic,2,righthand,petrol
200,520,honda,fit,2007,121134,1290,automatic,4,righthand,petrol
201,526,toyota,passo,2010,37195,1000,automatic,2,righthand,petrol
202,530,toyota,raum,2003,60000,1500,automatic,4,righthand,petrol
203,530,nissan,note,2012,121000,1500,automatic,2,righthand,petrol
204,530,nissan,cube,2012,125000,1500,automatic,2,righthand,petrol
205,530,toyota,passo,2011,108000,1000,automatic,2,righthand,petrol
206,530,nissan,cube,2010,66000,1500,automatic,2,righthand,petrol
207,540,nissan,note,2007,84000,1500,automatic,2,righthand,petrol
208,540,nissan,cube,2013,138000,1500,automatic,2,righthand,petrol
209,540,toyota,passo,2011,114000,1000,automatic,2,righthand,petrol
210,540,nissan,note,2007,32000,1500,automatic,2,righthand,petrol
211,541,toyota,sienta,2005,47190,1500,automatic,2,righthand,petrol
212,541,mazda,verisa,2005,57907,1500,automatic,2,righthand,petrol
213,541,toyota,passo,2009,65851,1000,automatic,2,righthand,petrol
214,541,honda,fit,2007,32899,1300,automatic,2,righthand,petrol
215,541,honda,fit,2007,69280,1500,automatic,2,righthand,petrol
216,541,toyota,vitz,2007,62538,1000,automatic,2,righthand,petrol
217,541,toyota,passo,2010,48630,1000,automatic,2,righthand,petrol
218,550,toyota,wish,2005,100300,2000,automatic,2,righthand,petrol
219,550,nissan,cube,2012,92000,1500,automatic,2,righthand,petrol
220,550,nissan,note,2011,44400,1500,automatic,2,righthand,petrol
221,550,nissan,tiida,2010,109000,1500,automatic,2,righthand,petrol
222,550,nissan,note,2011,56000,1500,automatic,2,righthand,petrol
223,550,toyota,bb,2011,130000,1500,automatic,2,righthand,petrol
224,550,nissan,march,2011,32000,1200,automatic,2,righthand,petrol
225,550,nissan,note,2011,119000,1500,automatic,2,righthand,petrol
226,550,toyota,passo,2011,119000,1000,automatic,2,righthand,petrol
227,550,toyota,passo,2011,81000,1000,automatic,2,righthand,petrol
228,550,toyota,passo,2010,70000,1000,automatic,2,righthand,petrol
229,550,toyota,passo,2011,90000,1000,automatic,2,righthand,petrol
230,550,toyota,passo,2011,78000,1000,automatic,2,righthand,petrol
231,550,nissan,note,2010,105000,1500,automatic,2,righthand,petrol
232,550,nissan,march,2011,116000,1200,automatic,2,righthand,petrol
233,550,toyota,passo,2011,115000,1000,automatic,2,righthand,petrol
234,550,toyota,passo,2010,117000,1300,automatic,2,righthand,petrol
235,550,toyota,passo,2011,100000,1000,automatic,2,righthand,petrol
236,550,suzuki,every,2011,148000,660,automatic,2,righthand,petrol
237,550,toyota,passo,2011,101000,1000,automatic,2,righthand,petrol
238,550,toyota,passo,2011,117000,1000,automatic,2,righthand,petrol
239,550,toyota,passo,2011,143000,1000,automatic,2,righthand,petrol
240,550,toyota,passo,2011,53000,1000,automatic,2,righthand,petrol
241,550,toyota,passo,2010,64000,1000,automatic,2,righthand,petrol
242,550,mazda,demio,2005,115000,1300,automatic,2,righthand,petrol
243,550,nissan,note,2012,57000,1500,automatic,2,righthand,petrol
244,550,nissan,cube,2013,126000,1500,automatic,2,righthand,petrol
